game,home?,win?,Flagrant Fouls 2,Flagrant Fouls 1,Technical Fouls 2,Technical Fouls 1,Personal Fouls 2,Personal Fouls 1,Points in Paint 2,Points in Paint 1,Fast Break Points 2,Fast Break Points 1,Points Off Turnovers 2,Points Off Turnovers 1,Total Turnovers 2,Total Turnovers 1,Blocks 2,Blocks 1,Steals 2,Steals 1,assists 2,assists 1,Defensive Rebounds 2,Defensive Rebounds 1,Offensive Rebounds 2,Offensive Rebounds 1,Total Rebounds 2,Total Rebounds 1,Free Throw % 2,Free Throw % 1,FT Made-Attempted 2,FT Made-Attempted 1,Three Point % 2,Three Point % 1,3PT Made-Attempted 2,3PT Made-Attempted 1,Field Goal % 2,Field Goal % 1,FG Made-Attempted 2,FG Made-Attempted 1
rockets,0,1,0,0,0,1,18,17,48,64,14,9,25,19,15,15,7,3,8,8,30,26,33,28,8,13,51,52,76.2,83.3,16-21,15-18,39.5,20,15-38,7--35,52.8,44.8,47-89,43-96
thunder,1,1,1,0,1,0,16,22,56,46,29,12,19,29,18,19,8,6,11,11,35,23,35,23,11,13,59,43,70.4,84.2,19-27,16-19,47.6,28.6,10--21,8--28,54.1,42.2,46-85,38-90
cavaliers,1,1,1,0,2,1,22,21,46,34,37,13,10,20,17,15,11,4,10,7,37,11,47,28,11,7,69,45,79.2,74.1,19-24,20-27,44.1,26.5,15-34,9--34,50.5,35.2,46-91,31-88
raptos,0,1,0,0,1,2,25,22,50,40,20,16,10,15,12,15,7,1,9,8,33,16,28,33,7,13,40,54,92.9,90.2,26-28,37-41,36.1,40,13-36,25-Oct,50.6,45.1,44-87,37-82
trailblazers,0,1,0,0,0,0,18,24,32,60,17,18,22,26,18,18,6,2,13,11,28,26,31,33,8,9,51,48,84.6,75,33-39,9--12,30.8,37,8--26,27-Oct,45.6,49.5,36-79,46-93
houston,1,0,1,0,3,2,27,28,54,62,25,24,23,25,17,21,7,4,12,11,31,26,41,41,13,15,66,71,78.4,73.3,29-37,22-30,27.3,31.8,12--44,14-44,41.3,44.4,43-104,48-108
grizzles,1,0,0,0,0,0,21,28,54,54,25,22,22,12,16,12,5,0,7,13,23,29,37,33,7,14,52,57,74.4,78.9,29-39,15-19,26.7,39.4,8--30,13-33,49.4,48.5,41-83,50-103
sacramento,0,0,0,0,2,2,17,18,34,56,21,5,20,28,18,19,10,4,10,11,22,25,33,38,7,8,52,52,79.2,84.2,19-24,16-19,34.1,30.4,15-44,7--23,41.4,48.9,36-87,43-88
spurs,1,0,0,0,1,0,19,19,48,50,20,24,17,15,16,14,6,3,11,13,24,25,27,34,8,21,40,64,72.2,88.5,13-18,23-26,21.2,50,7--33,12--24,47.1,48,40-85,47-98
lakers,0,0,0,0,2,1,13,19,54,64,20,12,22,11,20,16,3,5,13,9,26,26,31,35,9,16,49,56,70,90.5,14-20,19-21,15.6,26.7,5--32,8--30,45.3,47.4,39-86,45-95
cavaliers,0,0,0,0,1,1,24,19,50,44,16,3,21,14,20,12,4,2,8,14,25,20,37,26,5,18,51,60,86.2,71.9,25-29,23-32,30,34.3,9--30,12--35,48.1,38.9,37-77,37-95
